"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"spatial_pd_demographic.nlogo"
"experiment"
"06/07/2024 08:46:32:123 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","agent-maxage","pd-r","histogram-granularity","pd-s","agent-procreation-min-wealth","agent-init-coop-ratio","simulation-steps","pd-t","agent-number","agent-init-random-birth-age","patch-background-color","neighborhood","mutation-rate","agent-init-endowment","pd-p","[step]","count turtles","count cooperators","count defectors"
"3","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","0","280","140","140"
"14","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","0","280","140","140"
"19","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","0","280","140","140"
"11","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","0","280","140","140"
"12","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","0","280","140","140"
"8","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","0","280","140","140"
"4","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","0","280","140","140"
"19","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","1","309","146","163"
"11","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","1","292","143","149"
"14","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","1","301","157","144"
"8","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","1","335","175","160"
"3","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","1","289","144","145"
"13","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","0","280","140","140"
"12","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","1","308","157","151"
"10","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","0","280","140","140"
"21","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","0","280","140","140"
"5","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","0","280","140","140"
"6","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","0","280","140","140"
"18","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","0","280","140","140"
"9","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","0","280","140","140"
"17","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","0","280","140","140"
"15","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","0","280","140","140"
"19","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","2","327","156","171"
"4","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","1","299","135","164"
"8","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","2","371","190","181"
"7","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","0","280","140","140"
"3","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","2","308","150","158"
"20","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","0","280","140","140"
"11","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","2","295","124","171"
"22","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","0","280","140","140"
"16","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","0","280","140","140"
"12","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","2","337","184","153"
"14","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","2","315","161","154"
"2","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","0","280","140","140"
"24","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","0","280","140","140"
"23","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","0","280","140","140"
"4","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","2","293","121","172"
"3","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","345","198","147"
"19","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","380","208","172"
"10","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","1","297","139","158"
"11","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","299","146","153"
"12","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","420","281","139"
"14","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","360","192","168"
"18","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","1","284","128","156"
"4","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","342","175","167"
"8","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","443","262","181"
"6","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","1","309","144","165"
"17","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","1","290","130","160"
"5","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","1","306","152","154"
"16","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","1","313","147","166"
"3","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","4","436","292","144"
"24","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","1","307","150","157"
"13","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","1","291","139","152"
"20","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","1","316","145","171"
"7","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","1","299","140","159"
"19","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","4","475","312","163"
"21","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","1","301","144","157"
"23","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","1","309","154","155"
"9","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","1","303","149","154"
"2","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","1","317","163","154"
"15","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","1","304","141","163"
"22","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","1","303","143","160"
"11","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","4","363","199","164"
"18","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","2","275","99","176"
"10","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","2","313","140","173"
"6","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","2","325","146","179"
"4","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","4","427","268","159"
"14","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","4","463","282","181"
"24","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","2","347","172","175"
"16","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","2","338","146","192"
"13","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","2","295","132","163"
"7","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","2","314","144","170"
"23","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","2","350","188","162"
"21","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","2","310","137","173"
"5","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","2","335","159","176"
"17","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","2","298","119","179"
"9","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","2","327","155","172"
"20","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","2","310","128","182"
"22","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","2","307","148","159"
"12","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","4","623","459","164"
"2","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","2","334","159","175"
"15","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","2","314","138","176"
"10","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","357","187","170"
"8","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","4","601","416","185"
"18","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","285","129","156"
"11","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","5","478","315","163"
"3","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","5","637","472","165"
"16","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","376","184","192"
"19","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","5","674","504","170"
"5","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","374","216","158"
"6","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","368","190","178"
"24","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","400","226","174"
"13","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","329","177","152"
"23","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","411","238","173"
"21","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","344","180","164"
"17","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","301","154","147"
